,Strain,Specie,Plate,Media,Replicates,Control Well Growth,PlateIDs
7968,ynfN,E.coli,PM10,IF10a,R1,0,ECP83
8064,ynfN,E.coli,PM09,IF10a,R2,0,ECP84
8160,ynfN,E.coli,PM10,IF10a,R2,0,ECP85
8256,yodC,E.coli,PM09,IF10a,R1,0,ECP86
8352,yodC,E.coli,PM10,IF10a,R1,0,ECP87
8448,yodC,E.coli,PM09,IF10a,R2,0,ECP88
8544,yodC,E.coli,PM10,IF10a,R2,0,ECP89
8640,argF,E. coli,PM02A,M9 No Carbon,R1,0,ECP90
8736,argF,E. coli,PM02A,M9 No Carbon,R2,0,ECP91
8832,argH,E. coli,PM02A,M9 No Carbon,R1,0,ECP92
8928,argH,E. coli,PM02A,M9 No Carbon,R2,0,ECP93
9024,BW25113,E.Coli,PM01,M9 No Carbon,R1,0,ECP94
9120,BW25113,E.Coli,PM02A,M9 No Carbon,R1,0,ECP95
9216,BW25113,E.Coli,PM01,M9 No Carbon,R2,0,ECP96
9312,BW25113,E.Coli,PM02A,M9 No Carbon,R2,0,ECP97
9408,BW25113wt,E. coli,PM02A,M9 No Carbon,R1,0,ECP98
9504,BW25113wt,E. coli,PM02A,M9 No Carbon,R2,0,ECP99
9600,malE,E. coli,PM02A,M9 No Carbon,R1,0,ECP100
9696,malE,E. coli,PM02A,M9 No Carbon,R2,0,ECP101
9792,MS5762,E.Coli,PM01,M9 No Carbon,R1,0,ECP102
9888,MS5762,E.Coli,PM02A,M9 No Carbon,R1,0,ECP103
9984,MS5762,E.Coli,PM01,M9 No Carbon,R2,0,ECP104
10080,MS5762,E.Coli,PM02A,M9 No Carbon,R2,0,ECP105
10176,MS8806,E.Coli,PM01,M9 No Carbon,R1,1,ECP106
10272,MS8806,E.Coli,PM02A,M9 No Carbon,R1,0,ECP107
10368,MS8806,E.Coli,PM01,M9 No Carbon,R2,1,ECP108
10464,MS8806,E.Coli,PM02A,M9 No Carbon,R2,0,ECP109
10560,yfdF,E. coli,PM02A,M9 No Carbon,R1,0,ECP110
10656,yfdF,E.Coli,PM01,M9 No Carbon,R1,0,ECP111
10752,yfdF,E. coli,PM02A,M9 No Carbon,R2,0,ECP112
10848,yfdF,E.Coli,PM01,M9 No Carbon,R2,0,ECP113
10944,yhjE,E. coli,PM02A,M9 No Carbon,R1,0,ECP114
11040,yhjE,E.Coli,PM01,M9 No Carbon,R1,0,ECP115
11136,yhjE,E. coli,PM02A,M9 No Carbon,R2,0,ECP116
11232,yhjE,E.Coli,PM01,M9 No Carbon,R2,0,ECP117
11328,ypjC,E. coli,PM02A,M9 No Carbon,R1,0,ECP118
11424,ypjC,E.Coli,PM01,M9 No Carbon,R1,0,ECP119
11520,ypjC,E. coli,PM02A,M9 No Carbon,R2,0,ECP120
11616,ypjC,E.Coli,PM01,M9 No Carbon,R2,0,ECP121
11712,yqeG,E. coli,PM02A,M9 No Carbon,R1,0,ECP122
11808,yqeG,E.Coli,PM01,M9 No Carbon,R1,0,ECP123
11904,yqeG,E. coli,PM02A,M9 No Carbon,R2,0,ECP124
12000,yqeG,E.Coli,PM01,M9 No Carbon,R2,0,ECP125
